300.00 K,315.79 K,333.33 K,352.94 K,375.00 K,400.00 K
5.3919001236812125,5.444315168417057,5.7651740558531595,5.6316131178694295,5.380282889480115,5.689068587552949
5.334044559046965,5.485337982482997,5.36223973552985,5.688978035431661,5.793168743899983,5.838938273293094
5.541939970512803,5.512830830690056,5.443989018025926,5.879306222882316,5.607617076894202,5.718015531119024
5.369110331169189,5.483940427795776,5.8142415554471345,5.599868608288185,5.406144602799369,5.732045904394644
5.422171633663314,5.474431586411027,5.618735066573604,5.465203374663998,5.803357065789134,5.439776780277092
5.663758298955463,5.217732865525852,5.258879486804634,5.515463762890419,5.665732967933759,5.9121862829464655
5.481741578909243,5.719413972926766,5.696337284359591,5.178813066738093,5.106223705365646,5.9468295090632335
5.806761566702406,5.409394426974086,5.639204081793477,5.1759143769446725,5.084281212538417,5.755652960014245
5.517431293321098,5.654582643411147,5.95125923401232,5.209528061908731,5.8317800643894975,5.10975930970423
5.611617826099493,5.792570625906079,5.350835910900543,6.0084386520706,5.830530346617719,5.08702531739523
5.671186208903995,5.61065170551413,5.828587936720585,6.122857213357178,5.602328041198645,5.242139454951837
5.80583206446125,5.617995830978311,5.684573934942334,5.721988540350636,5.1856888267027506,5.862156169762063
5.64944041451622,5.958011397850498,5.526172310112285,5.327991072209883,5.903979711899661,6.010463911832027
5.420404191345537,5.566116937942063,5.841307147723317,6.119495828631653,5.919446071237631,5.25328345561876
5.888169678923856,5.376202936641572,5.719423073670365,5.698250385876576,6.00776763026892,5.296005025807492
5.274700398341092,5.4673783695728035,5.184763670969873,5.850719124104594,5.944084822730943,5.922076178734363
5.560891934668719,5.787668709690085,5.262671427474061,6.060831434978334,5.095172501757844,5.952640869423216
5.585139866717723,5.633600193127272,5.314724894404132,5.2153786687505095,6.117565295896919,6.051434971736275
5.638300870515995,5.73090205230312,5.373914296992704,6.124619163009463,6.001516484372811,5.2723109928539635
6.022737379741432,5.65433875365491,5.941173908969013,5.735299127086916,5.379713417180775,5.360713882256906
5.532249722408275,5.87617334363336,5.738365900622619,5.204184608547273,5.93408808794346,5.340289133732722
5.7003835740536015,5.645727383304801,5.772511793369841,5.315353659918283,5.871220965243516,5.062255515268753
5.675540407539042,5.7756763821184425,5.721255559657438,5.162994632079297,5.797909339045023,5.153567671582442
5.716366621398249,5.631452545845168,5.728390412143167,5.05372360792009,5.158396209089976,5.75583092383122
5.6801279480950955,5.578343565164905,5.50603991142875,5.07093195963982,5.099831220137123,5.622048119367528
5.677684164093094,5.1620139778175895,5.519736935529875,5.420142856835508,5.637292991569753,5.044166613438386
5.430761386820807,5.649827745387493,5.439601844927308,5.155351056527842,5.717405776379201,5.043839951672473
5.71993836872488,5.0938961380504555,5.4185996024259895,4.9993263675381145,5.454981273418955,5.505338045552009
5.708149203592953,5.504367962897332,5.1271652621036115,5.095565898626461,5.469243865515719,5.549054471318709
5.273283034206763,5.854878211973704,4.991785009266524,5.689246340532248,5.3844265496822095,5.482494073949836
5.897681811659795,5.044069827292355,5.493653318129987,5.516440626432076,5.139656749759013,5.348144841711987
6.029062854602032,4.9318162322893455,5.297133132218249,5.4561695607234855,5.219310402828506,5.374096032109603
4.9628874840837325,5.342581764047064,6.096177409136763,5.240454875094885,5.091115118563878,5.5453479056064605
5.083297887604617,5.1102289257118425,6.205874050457637,5.2802289040088,5.441209384678286,5.054863882622385
5.083591408530063,6.0973572808450625,5.144184876359292,4.945099903624749,5.4123828720193785,4.989452061850349
4.994817907176858,6.060552166362029,5.218017777627651,5.13127341242608,5.09946171233537,5.563861129856661
5.070692605255745,4.962029366666663,6.166851642496498,5.516064546544507,4.985366223499422,5.030334908206713
5.135744457965598,5.082668467774211,6.137333627530709,4.92433699597018,4.924101172851889,5.631406852097912
5.130637034624308,5.1491831730724185,4.989347092581235,5.021040393880321,6.124600530337471,5.3887162520040315
5.050338190209062,4.990138536347906,5.017178401427271,5.182582989124307,5.100987122393599,6.042412680886418
4.914714130779493,5.011337039077521,4.937538236688475,6.011369452508318,5.0477583175751874,5.112670434788314
4.842365838918129,4.977190703986191,6.025750056064163,4.857296166019837,5.123240154375571,5.0430534644301614
5.756953717795187,5.078897577275812,4.922494012536668,4.649831041793627,4.9146248203731915,5.097846677382214
5.197075203674386,4.871207648339245,5.837970473691662,4.795313785724813,4.497593225826926,5.024109513993429
5.190417709533355,5.078726117733045,4.443589892038299,5.941408438152532,4.934415968941085,4.557986656772978
5.2050366166244695,4.41162627842287,4.621492881107691,6.011177064118498,4.867162067146695,5.049685380022252
5.2501990767015,5.999723146957784,4.373931841601112,4.6024846169955556,4.904208696647421,5.096880675010524
5.2732866203150595,6.031723219117156,4.8274126092369976,5.234462731396548,4.410848262847825,4.544039641712256
5.320815282424328,4.478226569991099,5.20413283014421,4.740665678172743,6.236242915839236,4.929772239729222
5.269122182017613,4.497754976358274,5.2777725552037955,4.805701719118906,6.244324739083482,4.823935117576832
5.175527813566082,5.451871290257656,4.421424681598499,6.1810972460905775,4.679941666498853,4.7532158726616505
6.060997357035115,5.445851421186261,4.535644805248634,5.201568980361248,4.313860334955808,4.667176966696018
6.0917482267283924,5.418019789527131,4.622066244874281,5.261724628339166,4.46379432934875,4.3451865378652075
5.479651012873455,5.292121271732894,6.189533828100121,4.162279466742556,4.246770903315508,4.588228293226347
5.45718477423147,6.107273100145669,5.135496284842678,4.203671564060387,4.3232090225657736,4.767041611242934
6.237881020106792,5.459116706047282,5.255724188986082,4.316527053553626,4.260299320690083,4.957341023202557
5.380471869818108,6.081977130188574,4.340172664750789,5.523090652856497,4.152487854718249,4.9944536672496405
5.346144924076886,5.3240398479488285,6.143062323606908,4.272009886495695,5.037549639636529,4.102087473056478
5.408894542646966,5.0165570176554155,5.979173770666706,4.391671296632834,5.192235932029449,4.111094141751924
5.352288893022645,4.922711293026805,5.179343347082341,5.984203931938407,4.325925304784696,4.269812482673163
4.924907630378481,5.173575449563515,6.104506948881319,5.3542506563566565,4.424450906791627,4.089083967092089
5.100537742889333,6.140033834721022,5.260560738845699,4.266392460288505,4.139355729129238,5.027526037600184
6.137845680937187,5.272750983098975,5.207770555355274,3.972434109510852,4.307585684311288,4.90984268225859
6.044069918691328,3.882548017056741,5.309070908874258,5.206586425851296,4.278947935657193,5.012645066801229
5.333392899102374,3.8903831811797676,5.3640863332975295,4.317224026645716,6.012216947375231,5.205281142909614
3.8133093500394257,5.275653331335416,4.501125492599615,5.916030486605232,5.430807021793503,5.120365710435181
5.311911221137073,6.100686950206724,3.871275737987083,4.645595627528256,5.247302414212662,5.165221067839862
3.9374191394092675,5.5072100518996985,6.240368059624704,4.644485816808224,5.297415379142247,4.973933376727381
4.058522197450722,5.496959058231919,4.761275347971833,4.861226557926079,6.289732464438424,5.431581269064627
4.1713116561091965,4.705904878702569,5.453666967146584,6.188165895229549,4.626497705713382,5.562595820685981
5.453879192337405,4.241006807674759,4.6374105609013325,4.7042496763081925,6.213456047336809,5.597625365775212
4.445563867098354,5.439709484719185,4.155738074401654,4.600767052601642,6.187683754048007,5.71830869660236
4.649146806928488,4.544309026622957,4.213804081330268,5.3788745138529075,6.26001979677493,5.700391424671745
4.640171209568949,4.17518771219267,4.745941224454549,5.302759800691967,6.2488683786171055,5.815479481348511
4.134949033385617,5.201095014779243,4.462755591599083,4.77686157850303,6.316514112059777,5.927320951600526
5.325923689290747,5.825097681955011,4.39131018569383,4.170830011847718,6.325250742490187,4.700132180622144
5.153598273896446,4.265734511899603,5.699980287787566,6.390057550006566,4.806174439219222,4.092940136364253
4.980949122211713,4.272845599552781,4.5881082464568985,4.022847112538929,6.159658256346802,5.688552564554984
4.8841762926928975,4.111166529121987,4.605370700541044,6.108250215826144,3.9679855561087,5.634967953413168
4.604396918590916,4.7329664513468925,4.125207477345379,5.89054368981063,4.057763688602809,5.661217595250557
4.358086833614753,4.71129317800446,4.603520927108346,4.0259384568541075,5.749253157563815,5.568822938122119
4.610436077243618,4.660060660685147,4.545085458244563,3.923020168421824,5.738652860648181,5.531590094729356
4.477910567298907,4.458015571102167,4.648684952678856,5.668059896009212,3.689513725649941,5.612968437523017
4.647077178214988,4.57654345290759,3.694515414234721,5.515408630233638,4.452779267943977,5.525643738839855
4.59209888788879,4.361874404939936,3.707034325136067,4.679277396635,5.630147376399022,5.50404896454684
3.6739242087941646,4.64028629993355,4.230280966261383,4.527085379611689,5.45294642830711,5.7788771639779055
3.8545186726089833,4.42837079326816,4.180640418978605,4.554578049525583,5.555228162762884,5.860193329234475
4.568945464653854,3.9365243948355237,4.130772680406613,4.607284292389416,5.4773656646984845,5.987226997252286
4.774453351461945,4.344007957797785,4.5542968184448585,3.942109468753661,5.9023055713928745,5.508217049355152
4.400990502562631,3.993085065036114,4.287936176818162,4.742726831267608,5.781115834850876,5.522709571517057
4.969433401671311,4.078341300046285,5.767039035575448,4.632894535200511,3.9550866029820737,5.79824231320721
4.048520714852978,4.032817786485595,5.12010973299261,5.714105690088685,5.7545031764175665,4.647163192209767
3.952282208061412,5.042991447601252,4.562747093315823,4.010484067589659,5.9246807761433065,5.951149868803733
5.18558527089279,3.9641325141199255,4.400451868147397,4.048308864846588,5.923562156214303,5.977438051413508
5.196912735722152,3.9344819305386864,4.068621517498314,6.106899650937593,5.755012151403436,4.486539384268818
4.020355262650942,4.104268478327225,4.499622333491566,5.806790986709842,5.0889784102330315,6.191915683086857
4.100108777201314,6.093686832533104,4.2174267964018135,4.449693311953931,6.083202405492044,5.3143678939171295
4.055624963314199,5.940157331167867,4.183787414751427,4.324169421365351,5.35357204182725,5.934381313946724
4.13429292556621,4.12337164715888,4.2617424232226,5.869771280767637,5.105014611236932,5.791704599343949
4.4310216930833315,4.262105159569736,4.2885626003268875,5.932291806433398,5.08099597299058,5.73851629156238
4.242322710652683,4.467490332611821,4.36348462961849,5.58559019575037,5.8488346592718905,5.043375335807292
4.486376478385938,4.282427352961834,4.258166750285116,5.801151489001152,5.517050037653819,4.883463541494361
4.122910171856089,5.812694333854384,4.329800450284921,4.404967949196458,5.415400761192686,4.9170561784506255
4.205802111442084,4.38949290598516,4.229679229301965,5.403100491587304,5.7315269067227055,4.843853540619864
4.267825364414576,4.4997157634260585,5.297156772309097,4.050210893874359,5.8211258710050355,4.681852341574189
4.035033899312225,4.474876884693385,5.321947593359404,4.27076801130538,4.681769093049211,5.636519496159779
4.294984081323783,4.412777818461041,4.178985808716857,5.614022689438989,5.244642668352876,4.910721808127882
4.337232359868913,4.199126126236736,4.4286023744233844,5.70824920246964,4.8743367732122715,5.173183663323228
4.408593983612596,4.111567778339364,5.388228189226486,4.881145246268149,4.492207397993471,5.739546540649454
4.444798933897392,4.698555189596151,5.949281918749545,4.209012593824202,5.376245546772828,4.8333835882505705
4.457437969435966,4.026636370817243,5.810561836629606,4.710404907406688,5.2228517764611,4.853885427042953
4.2895873905199835,4.040411062741793,5.922929201817602,4.632865922381336,4.875066437541891,5.140539933446601
4.156179563805318,4.454589138646439,5.081018041491331,4.667806594541499,6.061221543504486,5.174886322229619
3.9904211500522533,4.35062507404431,5.001834059945763,4.429809283278952,5.334354175221365,6.099223691770352
4.164374122269323,3.9961507399089036,4.384886565041843,4.870367754914731,5.100636488928479,6.076040012940283
3.9606565632585062,4.373792887706069,4.928547932041496,4.814765244270869,4.150459946007391,5.993489513617567
4.0479078881306565,5.006449327545869,4.006459893793217,4.427371584748014,5.9790158736637755,4.76083721772405
3.9991638815954014,3.7558443335305594,4.92671535054205,4.651420863054307,5.834322184917818,4.564889775137037
3.9725084458673647,3.6461255747933747,4.819460967132276,4.738518383830422,4.526082937527796,5.833391053849672
3.951729724738681,4.814268470097698,3.752734360506801,4.810119580147553,4.492816703926997,5.8029040852410425
3.7836638715205497,3.971586831208607,4.7628716538546625,4.685355498948176,4.470723245770492,5.806305285544268
3.9664102317605012,4.582234503982439,3.8544978676284,4.844398103365095,5.8742422957772,4.556221096249976
3.830847216327462,4.772513744298811,4.599166214022555,4.034789806024751,4.5349685004095655,5.818744796042674
4.1473953476668575,3.7175777302885,4.52825826599371,4.8036354721554995,5.803738756489298,4.471127264752028
4.117479833139775,4.6300060290316685,3.6159084085896094,5.824485788893094,4.2971593089421996,4.782964077788124
3.537491904414899,4.343087680345406,4.109395546354599,4.704345053938184,4.672774294178453,5.797832126010658
3.4855625354650828,4.784121820394537,4.239383779326814,4.833101462945713,4.222567255811457,5.876940263623192
3.416702116430871,4.679414367011971,4.973562380465984,4.163522247929947,5.825466757198775,4.0426966479501205
4.69583926140471,3.4221388886541404,4.199581158206814,5.040923854603024,3.957655782353975,5.95491171479316
4.619197723516098,3.534044572012507,4.098692061436007,3.8569780961180107,4.983170814932647,5.90696314145367
4.525758625154581,3.5583612063782137,4.985732175509822,4.063669760371843,5.826919701789891,3.8045398112100486
3.5208679876944045,4.422902054034326,5.827311623187481,4.881494199028618,4.159088765048159,3.917957229176828
4.4306894191393615,3.8814367940347703,3.5242738127612983,4.074244721802608,4.953767231227828,5.728577091597857
4.184831756480531,3.4540255850770145,4.468268816313405,3.938855672730763,4.909120028636661,5.78840148771353
4.180544676550215,3.8709258108426194,3.495680420326983,4.450193982875129,4.970395740576026,5.649207512405887
4.619689639573807,3.769012500473962,4.102455620426191,3.5433613885755784,4.968542508285689,5.625084452081586
3.9060686363317414,3.5327783514129854,5.482379099395834,4.507677386132651,4.955923540074436,4.204712573233145
5.366957528462412,3.946112555472674,3.472383650649305,5.264580091441454,4.6421256817373395,4.136860276158761
3.457428369099983,4.058888616627048,4.493219428401284,5.291008009269452,5.280055087998273,4.046372544656915
3.4995949778466264,3.977936336333655,4.324807049288535,4.498167616456721,5.4322193718809,5.2062687908816425
4.698836258675311,5.393258676453357,4.114090740607444,3.4703108963262923,4.263802553293757,5.336731769369352
4.672353915029409,5.391882383983745,3.6534995886613166,4.046078625812535,4.133608155592834,5.38839290043751
3.553076354766111,4.568095842795132,5.361836652174729,4.16413664723236,3.848826316878012,5.409427749484559
3.4956316738504416,4.631464995646037,3.8342466366696057,5.38399355807303,5.326078643935116,4.160464101759724
3.448457077320677,3.794015698040205,5.314914928657412,5.243656240038969,4.559715447099768,4.19919818467886
3.492984984006333,4.603954423466445,4.024593787141361,5.181850329656373,4.077888523737779,5.152102612250398
3.9979082597707074,4.572016848156015,5.1124321371974695,3.588620957017453,5.176549001606202,4.131185703723986
3.551151514925559,4.531761402996632,4.225690401948171,5.065470378099718,4.096106585831084,5.128168862500319
4.423706620945339,3.426072074140666,4.28766198191926,5.247012992290782,5.052370712602507,4.066437264770048
3.6531073809679167,4.547677765828354,5.211030692776526,4.288106097065689,5.132021377400768,3.9129351055340336
4.658949954158213,3.662190632045677,4.30544793521636,4.994329311393287,3.895099332701261,5.152137870095844
3.7315062670317696,4.680111257004324,4.232199442975424,3.9663750972859475,5.203581996151441,4.908025313492883
3.770189973942688,4.846787064146376,3.867553950051764,4.136849060678121,4.799571730942647,5.024240497743851
3.8223271412139685,4.776922513530461,4.080024905580837,4.912166936418546,3.7872442199065546,4.901101557582823
3.6378672132810825,4.910594454997733,3.9549740259608765,5.108194899390831,5.04380449507744,3.744474771858977
4.947371781188719,3.7942371479711015,3.8679337429395853,5.066992191445167,5.07755134476878,3.917531527748037
3.669935975361935,4.817654853636286,5.096883516980044,3.8490572597738244,5.066087204203523,3.7893092578250926
3.6886895464703935,4.934565701811685,5.182618498794289,3.82300590869775,5.226628582752755,3.939593172860954
3.612994112622268,4.967606160978385,3.9073952037048127,5.323119297013421,5.124367991144989,3.997643540404782
4.944921508164777,3.8831999889294835,3.4671135912366937,5.331590477920825,4.027085914007004,5.210154784209098
4.935346238185319,3.468990986884392,4.112989095211934,5.463180909718382,3.8302343042020612,5.2097621953163715
4.948532468959273,3.512038048684077,5.387947848449071,3.7952532594855546,4.049189940540116,5.234647102912035
3.7993019501865026,4.979291998337469,5.283737205471623,3.785216855498361,5.127589489116165,4.137673473433489
3.7451929576403726,5.0182563529801225,3.772105033242318,5.519266418633366,4.220833207168449,4.931735280586425
3.853815024197708,4.996710694625613,3.9757343434735266,5.607271580008366,4.4340051331843835,4.886031478735483
3.9518775055444766,5.257702544929367,3.892349803170117,4.359553660722303,5.419958020438526,4.7753734604492815
3.801051213402343,5.346827089400224,4.1003953044613715,4.500781336463502,5.319525959220668,4.573992585843967
3.679410127692943,5.182547324610957,4.082788785147593,4.599339845039161,4.531254297816354,5.327738920906083
3.6826616684400695,5.076400624032434,4.140116609789581,4.777491828942158,5.238760496922606,4.497165944926534
5.029572189696107,3.639987169226301,3.9070673249268477,4.759778030109132,5.265345559500362,4.505187344557807
3.679370157766617,5.13409606443344,3.9131699251732828,4.473961906519603,4.668797495691396,5.290927304361628
3.6551469784025463,4.954294066917569,3.86916848375731,5.407575531577222,4.478766938820394,4.641159838017962
3.8696845584291473,3.488884353632082,4.984135243943775,5.401712326641069,4.557005099475562,4.553173221983743
4.630671837880332,3.4091619736389056,5.427085502451999,3.7858329402956556,4.6771942236582476,4.7263662268582545
3.3976345953274705,3.770718168786462,4.71052463766841,5.352615485683919,4.591670919044489,4.722466716708436
3.337600905323448,3.7920989134960204,4.764071990631258,4.449512348762557,5.191309072227128,4.701917994573489
3.1929154442406213,3.7735803246076296,4.6699427858647224,5.047312330512837,4.280161098490927,4.577836664247378
3.1417444960947143,4.668356178174752,5.059669298438282,4.484802840903593,3.727625490647903,4.275452331848857
3.217211955373897,5.115750104263039,4.5735435059300915,3.8672381726959517,4.399383097586518,4.455383591571819
